alpha,normalized_output_error,ood_score_mean_rolling_spread,monitor_fired_fraction,raw_output_error
0.0000,0.000000,6.927259,0.010508,0.000000
0.0500,0.071900,6.941593,0.005254,0.086329
0.1000,0.139640,6.910199,0.001751,0.167663
0.1500,0.205533,7.006742,0.001751,0.246780
0.2000,0.279674,6.837026,0.028021,0.335799
0.2500,0.352714,6.668526,0.035026,0.423497
0.3000,0.408782,6.635945,0.007005,0.490817
0.3500,0.469191,6.439290,0.073555,0.563350
0.4000,0.530163,6.339683,0.061296,0.636557
0.4500,0.594773,6.055180,0.147110,0.714134
0.5000,0.641235,5.920254,0.206655,0.769920
0.5500,0.698420,5.789281,0.234676,0.838581
0.6000,0.718576,5.924819,0.238179,0.862782
0.6500,0.777365,5.612827,0.323993,0.933368
0.7000,0.806527,5.320034,0.465849,0.968383
0.7500,0.859175,5.089704,0.565674,1.031596
0.8000,0.877407,5.159003,0.548161,1.053487
0.8500,0.923795,4.926218,0.572680,1.109185
0.9000,0.940434,4.950982,0.597198,1.129163
0.9500,0.950762,4.890238,0.665499,1.141563
1.0000,1.000000,4.568336,0.704028,1.200683
